445733.58226375806,3945019.144842729
445733.31936945743,3945019.507841158
445733.0655713427,3945019.9521212024
445732.87832962914,3945020.374182287
445732.7132653452,3945020.820509266
445732.5410826181,3945021.2624430894
445732.4029110827,3945021.6897506784
445732.27500300785,3945022.1423210907
445732.1589337036,3945022.6310512857
445732.06518367876,3945023.1425676467
445731.977360692,3945023.6363015994
445731.8800673234,3945024.1605947027
445731.8072285832,3945024.6124596084
445731.7618380966,3945025.111665383
445731.7044207806,3945025.5686122486
445731.64841003396,3945026.058270223
445731.5967286199,3945026.540322663
445731.5469634173,3945026.9901983044
